horizon,model,qlike_mean,qlike_median,mse,collapsed,dm_vs_base,p_vs_base,n_obs,mcs_pvalue,in_mcs,qlike_delta_vs_base,block
21,rich_x__gdelt_tone_mkt,0.315715151949683,0.06278188471924473,0.0023766085722629537,0,1.3194785376216007,0.1870091806865697,720,0.5415,True,0.06719356777599306,news
21,rich_x__gdelt_share_mkt,0.2554734823304821,0.11261797212941005,0.002443340069966721,0,1.6241043814455371,0.10435353304064199,720,0.393,True,0.006951898156792147,news
21,rich_x__gdelt_tone_econ,0.26637748362228153,0.06773725132595543,0.0022823371762035758,0,0.7226776649895895,0.4698779406475442,720,0.8575,True,0.01785589944859156,news
21,rich_x__gdelt_share_econ,0.25777239021145765,0.09447041410257107,0.0024043430734822773,0,0.8550175589808909,0.3925414270825356,720,0.8575,True,0.009250806037767678,news
21,rich_x__wiki_attention,0.2477686551391835,0.10498397515864988,0.0023940766065981807,0,-0.8408200473067721,0.4004487545228921,720,1.0,True,-0.0007529290345064665,attention
21,rich_x__epu_log,0.26552092015089584,0.10736504897959898,0.0024790720569785336,0,2.1909419471887497,0.028455993712824812,720,0.038,False,0.016999335977205876,uncertainty
21,rich_x__emv_overall,0.24821637501748176,0.09665462222394694,0.0023658147187459897,0,-0.06570705090936749,0.9476110587333055,720,0.998,True,-0.00030520915620821376,uncertainty
21,rich_x__is_fomc,0.24870356445954186,0.10218065694956091,0.002403742580026743,0,0.09449597835721284,0.9247151769580222,720,0.9945,True,0.00018198028585189596,calendar
21,rich_x__is_cpi,0.24852822660605495,0.10562519840730811,0.0023963080602921348,0,0.10532638161079673,0.916116829902053,720,0.7835,True,6.642432364978301e-06,calendar
21,rich_x__is_payrolls,0.24821057018035197,0.1049608837233218,0.002396034712598443,0,-1.1955119833848071,0.2318870571110616,720,0.9905,True,-0.00031101399333799407,calendar
