date,rv5m_var,rq5m,n_buckets,rv5m,rs_pos_var,rs_neg_var
2022-10-04,8.42638501114e-05,7.13842811309e-09,77,0.145720589582,5.63811117443e-05,2.78827383671e-05
2022-10-05,0.000130298365845,2.65186978059e-08,77,0.181204823868,6.6614922914e-05,6.36834429313e-05
2022-10-06,0.000154737425045,3.34813972718e-08,77,0.197468557272,5.87402138844e-05,9.59972111602e-05
2022-10-07,0.000101644924423,1.40559335206e-08,77,0.16004537155,3.82251478995e-05,6.34197765238e-05
2022-10-10,0.000166470119165,4.79575344809e-08,77,0.204818138917,7.87021788986e-05,8.77679402664e-05
2022-10-11,0.000143989825961,2.87276458318e-08,77,0.190487364783,7.51953200373e-05,6.87945059235e-05
2022-10-12,0.000117677166237,2.45906643573e-08,77,0.172205243508,6.71676839095e-05,5.05094823273e-05
2022-10-13,0.000359638844357,2.65081216747e-07,77,0.301046489396,0.000285921918109,7.37169262473e-05
2022-10-14,0.000355792518186,2.11193901001e-07,77,0.299432320538,0.000106480358011,0.000249312160175
2022-10-17,0.00011396431421,2.08079500812e-08,77,0.169466832096,7.13694577905e-05,4.2594856419e-05
2022-10-18,0.00017895244253,3.41304086892e-08,77,0.212358224511,6.40333561099e-05,0.00011491908642
2022-10-19,0.000123400245709,1.64809546357e-08,77,0.176343023448,5.1645474588e-05,7.17547711207e-05
2022-10-20,0.000157661089511,2.46211940191e-08,77,0.199325348505,7.4969839956e-05,8.26912495552e-05
2022-10-21,0.000181139614601,2.67360617624e-08,77,0.213652013516,0.000113956266066,6.71833485349e-05
2022-10-24,0.00019460101944,8.97034337003e-08,77,0.221448542328,9.5668195881e-05,9.89328235595e-05
2022-10-25,6.91972115154e-05,1.23508011223e-08,77,0.132051873527,4.82656116012e-05,2.09315999142e-05
2022-10-26,0.000113164310073,1.50827912934e-08,77,0.168870974825,5.77645097459e-05,5.53998003274e-05
2022-10-27,0.000139767307609,2.74104326464e-08,77,0.187673550394,5.11811786437e-05,8.85861289655e-05
2022-10-28,4.75496645239e-05,3.26004145931e-09,77,0.109464676769,3.87916000411e-05,8.75806448286e-06
2022-10-31,8.95105623671e-05,9.60107096357e-09,77,0.150188753629,3.61129903263e-05,5.33975720407e-05
2022-11-01,9.94668637339e-05,2.02767558592e-08,77,0.158321349353,2.40977103734e-05,7.53691533605e-05
2022-11-02,0.000376590379751,4.95390358444e-07,77,0.308059695022,0.000150134549557,0.000226455830195
2022-11-03,0.000133492442228,2.17955663206e-08,77,0.183412364473,7.7106548543e-05,5.63858936853e-05
2022-11-04,0.000289879467068,1.03513681152e-07,77,0.2702769426,0.000143691028562,0.000146188438506
2022-11-07,6.35553965165e-05,6.18938495165e-09,77,0.126554177814,3.30350047322e-05,3.05203917843e-05
2022-11-08,0.000126599981813,1.92750287025e-08,77,0.178614656221,6.00360526527e-05,6.65639291607e-05
2022-11-09,0.000110444492706,1.30522854297e-08,77,0.166829290479,4.87870324218e-05,6.16574602839e-05
2022-11-10,0.000126623525952,1.9323928501e-08,77,0.178631264173,8.91989327047e-05,3.74245932475e-05
2022-11-11,8.83425962411e-05,1.35671087881e-08,77,0.149205677683,4.99766536322e-05,3.83659426089e-05
2022-11-14,7.43794188128e-05,7.76283910236e-09,77,0.136907317339,3.12590579694e-05,4.31203608434e-05
2022-11-15,0.000189019993617,3.52791834821e-08,77,0.218249944769,9.21321433381e-05,9.68878502792e-05
2022-11-16,4.90812276806e-05,2.86236784261e-09,77,0.111213620459,1.76859494528e-05,3.13952782278e-05
2022-11-17,6.84939537844e-05,1.0299810179e-08,77,0.131379132109,4.77954243975e-05,2.06985293869e-05
2022-11-18,8.4796471979e-05,9.60180705182e-09,77,0.146180405454,3.65625029939e-05,4.82339689851e-05
2022-11-21,3.96642607803e-05,2.20109924641e-09,77,0.0999769659304,2.15914877549e-05,1.80727730255e-05
2022-11-22,2.424302315e-05,7.67376422491e-10,77,0.0781616391448,1.68699626437e-05,7.37306050636e-06
2022-11-23,5.77683765533e-05,1.03179935733e-08,77,0.120655007735,3.60431900774e-05,2.17251864759e-05
2022-11-25,7.64973186448e-06,7.27036585357e-11,70,0.0439059498229,4.55540323489e-06,3.09432862959e-06
2022-11-28,3.10129716077e-05,1.47093660904e-09,77,0.0884040092142,9.44759578836e-06,2.15653758194e-05
2022-11-29,5.77712079119e-05,4.65495993937e-09,77,0.120657964486,2.37426996179e-05,3.4028508294e-05
2022-11-30,0.00014481858259,4.63766787913e-08,77,0.191034768596,0.000118139152912,2.66794296783e-05
2022-12-01,8.27774269728e-05,8.04503844036e-09,77,0.144429607758,3.01344094177e-05,5.26430175551e-05
2022-12-02,5.85647294803e-05,3.83643190453e-09,77,0.121483792454,3.58928990504e-05,2.26718304298e-05
2022-12-05,4.58895442758e-05,1.91167072513e-09,77,0.107536808384,1.21388245524e-05,3.37507197234e-05
2022-12-06,6.77948246005e-05,5.32875453596e-09,77,0.130706908002,2.08723022818e-05,4.69225223188e-05
2022-12-07,8.60820060134e-05,9.68008539521e-09,77,0.14728430166,3.87865889119e-05,4.72954171016e-05
2022-12-08,6.42914338144e-05,4.81612052396e-09,77,0.127284882532,3.48477640408e-05,2.94436697737e-05
2022-12-09,5.2033344682e-05,2.67733478229e-09,77,0.114509400749,2.36385512696e-05,2.83947934123e-05
2022-12-12,4.0929895002e-05,1.5655855156e-09,77,0.101559507386,2.80756882087e-05,1.28542067933e-05
2022-12-13,0.000270993828369,8.89361711168e-08,77,0.261324405192,8.87559607053e-05,0.000182237867664
2022-12-14,0.00036462062495,4.66781652401e-07,77,0.303124392762,0.000112598800576,0.000252021824374
2022-12-15,0.000101406376379,1.04959075141e-08,77,0.159857457904,3.33306040709e-05,6.80757723083e-05
2022-12-16,0.000104663680811,1.14077655473e-08,77,0.162404579875,4.61524110824e-05,5.85112697285e-05
